INFO 2013-01-10 16:06:52,486 main 827 ...simulated 375000 single reads.
INFO 2013-01-10 16:07:02,842 main 827 ...simulated 380000 single reads.
INFO 2013-01-10 16:07:13,203 main 827 ...simulated 385000 single reads.
INFO 2013-01-10 16:07:23,563 main 827 ...simulated 390000 single reads.
INFO 2013-01-10 16:07:33,919 main 827 ...simulated 395000 single reads.
INFO 2013-01-10 16:07:44,266 main 827 ...simulated 400000 single reads.
INFO 2013-01-10 16:07:54,615 main 827 ...simulated 405000 single reads.
INFO 2013-01-10 16:08:04,966 main 827 ...simulated 410000 single reads.
INFO 2013-01-10 16:08:15,316 main 827 ...simulated 415000 single reads.
INFO 2013-01-10 16:08:25,663 main 827 ...simulated 420000 single reads.
INFO 2013-01-10 16:08:36,014 main 827 ...simulated 425000 single reads.
INFO 2013-01-10 16:08:46,367 main 827 ...simulated 430000 single reads.
INFO 2013-01-10 16:08:56,720 main 827 ...simulated 435000 single reads.
INFO 2013-01-10 16:09:07,079 main 827 ...simulated 440000 single reads.
INFO 2013-01-10 16:09:17,487 main 827 ...simulated 445000 single reads.
INFO 2013-01-10 16:09:27,873 main 827 ...simulated 450000 single reads.
INFO 2013-01-10 16:09:38,250 main 827 ...simulated 455000 single reads.
INFO 2013-01-10 16:09:48,636 main 827 ...simulated 460000 single reads.
INFO 2013-01-10 16:09:59,039 main 827 ...simulated 465000 single reads.
INFO 2013-01-10 16:10:09,460 main 827 ...simulated 470000 single reads.
INFO 2013-01-10 16:10:19,850 main 827 ...simulated 475000 single reads.
INFO 2013-01-10 16:10:30,257 main 827 ...simulated 480000 single reads.
INFO 2013-01-10 16:10:40,639 main 827 ...simulated 485000 single reads.
INFO 2013-01-10 16:10:50,998 main 827 ...simulated 490000 single reads.
INFO 2013-01-10 16:11:01,443 main 827 ...simulated 495000 single reads.
INFO 2013-01-10 16:11:11,817 main 827 ...simulated 500000 single reads.
INFO 2013-01-10 16:11:22,253 main 827 ...simulated 505000 single reads.
INFO 2013-01-10 16:11:32,639 main 827 ...simulated 510000 single reads.
INFO 2013-01-10 16:11:43,038 main 827 ...simulated 515000 single reads.
INFO 2013-01-10 16:11:53,443 main 827 ...simulated 520000 single reads.
INFO 2013-01-10 16:12:03,835 main 827 ...simulated 525000 single reads.
INFO 2013-01-10 16:12:14,245 main 827 ...simulated 530000 single reads.
INFO 2013-01-10 16:12:24,679 main 827 ...simulated 535000 single reads.
INFO 2013-01-10 16:12:35,094 main 827 ...simulated 540000 single reads.
INFO 2013-01-10 16:12:45,490 main 827 ...simulated 545000 single reads.
INFO 2013-01-10 16:12:55,878 main 827 ...simulated 550000 single reads.
INFO 2013-01-10 16:13:06,275 main 827 ...simulated 555000 single reads.
INFO 2013-01-10 16:13:16,667 main 827 ...simulated 560000 single reads.
INFO 2013-01-10 16:13:27,068 main 827 ...simulated 565000 single reads.
INFO 2013-01-10 16:13:37,477 main 827 ...simulated 570000 single reads.
INFO 2013-01-10 16:13:47,881 main 827 ...simulated 575000 single reads.
INFO 2013-01-10 16:13:58,272 main 827 ...simulated 580000 single reads.
INFO 2013-01-10 16:14:08,675 main 827 ...simulated 585000 single reads.
INFO 2013-01-10 16:14:19,075 main 827 ...simulated 590000 single reads.
INFO 2013-01-10 16:14:29,467 main 827 ...simulated 595000 single reads.
INFO 2013-01-10 16:14:39,875 main 827 ...simulated 600000 single reads.
INFO 2013-01-10 16:14:50,267 main 827 ...simulated 605000 single reads.
INFO 2013-01-10 16:15:00,668 main 827 ...simulated 610000 single reads.
INFO 2013-01-10 16:15:11,142 main 827 ...simulated 615000 single reads.
INFO 2013-01-10 16:15:21,697 main 827 ...simulated 620000 single reads.
INFO 2013-01-10 16:15:32,122 main 827 ...simulated 625000 single reads.
INFO 2013-01-10 16:15:42,506 main 827 ...simulated 630000 single reads.
INFO 2013-01-10 16:15:52,883 main 827 ...simulated 635000 single reads.
